,,作者,题名,文献来源,年,卷,期,页码,ISSN,关键词,机构,摘要
11,C,孙厚纯;,高校辅导员博客的建立及功效研究,江苏高教,2011,No.159,5,112-113,1003-8418,辅导员博客;高校思想政治工作;网络,南京医科大学基础医学院;,"运用快速发展的现代信息技术加强大学生思想政治教育,是新时期高校学生工作的一大趋势。把博客与辅导员工作相结合,是高校学生思想政治工作的创新之举。建立并运用好辅导员博客,科学规划内容,加强管理,形成网上网下的教育合力,使博客真正成为辅导员工作的有益补充,成为高校学生思想政治工作的有效载体。文章从辅导员博客运行的实践出发,探讨其可行性及特点功能,探索提升其影响力的对策措施,以便充分发挥它在大学生思想政治教育中的作用,为辅导员工作搭建新的载体和平台。"
12,C,张宏如;,高校辅导员职业能力研究,思想理论教育导刊,2011,No.153,9,117-119,1009-2528,辅导员;职业能力;构成体系,常州大学法学与公共管理学院;,"职业能力研究是加强辅导员队伍建设的时代要求。基于心理学、管理学和思想政治教育相结合视角,分析了高校辅导员的职业能力机理,阐述了思想政治标准、工作业务能力和人格动机系统的辅导员职业能力体系,提出了理顺职业管理、构建职业平台、完善职业保障的提升路径,为辅导员队伍的专业化职业化等建设奠定基础。"
13,C,王槊;,提高辅导员的大爱精神和人文修养,中国高等教育,2011,No.464,Z3,41-42,1002-4417,大爱精神;人文修养;角色定位;人格魅力;综合素质;工作能力;学习纪律;育人工作;德育教师;大学文化建设;,上海海事大学浦东工商管理学院;,"办好高等学校,培养学生成为德智体美劳全面发展的社会主义建设者与接班人,需要多方共同努力,高素质的辅导员队伍是其中一支非常重要的力量。面对我国高等教育改革和发展的新形势,广大高校辅导员在坚定理想信念的同时,还应有工作能力不足的危机感,着力提高自身综合素质,尤其需要提升大爱精神和提高人文修养。一、明确角色定位,增强辅导员提高自身素质的紧迫感"
14,C,裴银伟;,高校辅导员激励观的理论意蕴及实践形态,江苏高教,2011,No.160,6,101-102,1003-8418,辅导员建设;激励观;理论意蕴;实践形态,南京财经大学学生处;,"从理论价值向度分析,坚持社会主义核心价值理念是建立辅导员激励观的理论根基,把握先进科学的激励理念是建立辅导员激励观的思想前提,以人为本和人的自我实现是建立辅导员激励观的根本价值取向和终极目标。从实践向度看,科学发展是激励之基,改革是激励之动力。"
15,C,韩冬;毕新华;,高校辅导员职业能力的形成与提升,思想理论教育导刊,2011,No.155,11,122-124,1009-2528,高校辅导员;职业能力;人格魅力;知识管理,东北师范大学思想政治教育研究中心;吉林大学管理学院;,"高校辅导员职业化、专业化的发展,迫切要求辅导员结合自身的特点和优势,形成职业能力。辅导员职业能力有其独特的内涵及特性,可以从以下几个方面提升辅导员职业能力:加强自身的品格修养,形成优秀的人格魅力;做好个人职业生涯规划,明确职业能力培养方向;在学术和工作中形成一技之长,发挥职业能力的优势;完善的个人知识体系,提升综合素质,体现职业能力的整合性;终身学习,敢于创新,保持职业能力的发展性。"
16,C,鲁静;,基于多元评价理论的辅导员职业准入标准,教育发展研究,2011,v.33;No.317,22,77-80,1008-3855,多元评价理论;辅导员;职业准入标准,华东师范大学公共管理学院;,"根据多元评价理论注重发展、多元的评价观,构建辅导员职业准入标准时,应坚持基础性评价标准与核心职业素质相对应、基础性评价标准和发展性评价标准相结合、多维化评价内容与个性化职业潜力相配合、多层次评价标准与多元化主体要求相协调等原则,以促进辅导员队伍职业化、专业化发展,学生的发展,高等教育事业的发展和社会的发展为核心目标。"
17,C,孙启武;郭兰;,岗位特征及相关因素对辅导员工作倦怠的影响,心理科学,2011,v.34;No.193,5,1178-1182,1671-6981,岗位特征;工作倦怠;角色压力;希望;高校辅导员,中国地质大学马克思主义学院应用心理学研究所;,"本研究旨在探讨岗位特征及相关因素对高校辅导员工作倦怠的影响。在高校辅导员培训课堂上共收取有效数据342份。结果表明:(1)岗位特征包括职业价值感、职业无意义感、岗位消极特征和岗位积极特征四个因子;(2)希望和职业价值感能显著正向预测,角色压力能显著负向预测工作倦怠;(3)角色压力在职业无意义感、岗位消极特征、社会支持对工作倦怠的影响中起完全中介作用,而在职业价值感、希望对工作倦怠的影响中起部分中介作用。本研究初步发现了岗位特征及相关因素对辅导员工作倦怠的作用路径。"
18,C,闫科培;,新疆特点的高校辅导员队伍建设初探,新疆师范大学学报(哲学社会科学版),2011,v.32;No.115,6,43-46,1005-9245,新疆特点;高校辅导员;特色化建设,新疆教育学院;,"新疆是我国西北重要的战略安全屏障,战略地位极其重要。推进具有新疆特点的高校辅导员队伍专业化建设,必须重视职业准入、政治素质、职业能力以及专业化的实施路径,保证这支队伍真正成为开展各族大学生思想政治教育工作的骨干力量,进而为新疆高等教育事业的又好又快发展服务。"
19,C,客洪刚;,高校辅导员队伍与思政课教师队伍交流机制研究,教育科学,2011,v.27;No.126,6,70-73,1002-8064,高校辅导员;思政课教师;思想政治教育;交流,东北师范大学马克思主义学院;,"高校辅导员队伍和思想政治理论课教师是培养未来社会主义事业的建设者和接班人的重要力量,加强队伍双方的交流与合作,探究其交流机制十分必要。限于高校辅导员队伍和思想政治理论课教师自身和高校教学与管理机制、体制的原因,还存在制约双方相互交流的因素。但通过二者相互兼职、工作会议平台、科研合作、制度保障等机制和方法是可以实现双方顺畅交流的。"
20,C,孙信丽;徐伟;林龙圳;崔建国;,进一步加强研究生专职辅导员队伍建设的思考,学位与研究生教育,2011,No.229,12,45-48,1001-960X,研究生;专职辅导员;队伍建设,北京林业大学党委研究生工作部;北京林业大学研究生就业办公室;北京林业大学团委研究生工作部;,"以北京地区部分普通高校研究生专职辅导员、研究生管理人员、研究生为调查对象,采取问卷调查、座谈、访谈等方式,对高校研究生专职辅导员队伍工作现状进行调查分析,总结了研究生专职辅导员队伍建设存在的问题,提出了进一步加强研究生专职辅导员队伍建设的对策和建议。"
21,C,严毛新;,高校辅导员承担思想政治理论课教学方式研究,中国青年政治学院学报,2011,v.30;No.152,1,66-69,1002-8919,高校辅导员;思想政治理论课;教学方式,浙江工商大学杭州商学院;,"与专职教师相比,辅导员更了解学生中存在的各类问题,更明白学生所思所想,更容易将理论与实践相结合;但他们年纪轻,流动性大,教学经验也不足。高校辅导员承担思想政治理论课采用""独立承担一门课""的方式不利于提高整体授课质量,也不利于辅导员队伍建设,应采取""分专题合作式重实践教学""方式,同时完善辅导员教师的选聘机制、考核培训机制和实践教学运行机制。"
22,C,叶绍灿;张效英;,学术研究视阈下的高校辅导员队伍建设,中国青年政治学院学报,2011,v.30;No.153,2,43-47,1002-8919,高校辅导员;学术研究;学术能力,合肥工业大学生物与食品工程学院;合肥工业大学党政办公室;,"高校辅导员从事学术研究有利于进一步加强大学生思想政治教育,提高辅导员的身份认同、工作水平,完善辅导员的知识结构,促进辅导员的专业化、职业化。目前的问题是:辅导员学术研究的意识不强,研究能力较弱,研究水平不高,高校中还没有形成辅导员进行学术研究的良好氛围。为此,高校必须加强相关学科建设,完善职称评聘,增强科研意识,加强团队建设等,促进辅导员学术研究水平的提高。"
23,C,倪培强;,新疆高校辅导员队伍建设探析,新疆师范大学学报(哲学社会科学版),2012,v.33;No.116,1,94-100,1005-9245,新疆高校;辅导员队伍;探析,新疆师范大学自治区大学生思想政治教育研究中心;,"新疆高校辅导员队伍在贯彻落实党的教育方针、坚持社会主义办学方向、培养社会主义事业合格建设者和可靠接班人、维护高校安全稳定中发挥着不可替代的重要作用。理清新疆高校辅导员队伍建设现状,找准存在的问题,并就提高辅导员队伍整体素质,建立和完善辅导员队伍管理制度和运行机制等进行研究,对进一步加强和改进辅导员队伍建设具有现实意义。"
24,C,杨延红;左红梅;,高校辅导员工作的四个重心,江苏高教,2012,No.161,1,125-126,1003-8418,高校;辅导员;角色定位;辅导员工作,扬州大学信息工程学院;扬州大学外国语学院;,"《普通高等学校辅导员队伍建设规定》明确了高校辅导员的角色,但在实际工作中,高校辅导员仍存在角色定位不准、工作热情不高和工作思路不清等问题。高校辅导员应当正确理解和把握自己的角色定位,担当起学生思想政治的教育者、教育管理的组织者、学生事务的管理者、学习生活的指导者和健康成长的服务者等角色,确立""以学生为本""的工作理念,切实有效地做好学生的教育、管理、指导、服务工作,为高校的人才培养作出应有的贡献。"
25,C,沈伟;,美国教育问责背景下的教学辅导员:回顾与反思,全球教育展望,2012,v.41;No.295,2,61-66+60,1009-9670,问责;教学辅导员;角色,香港中文大学教育行政与政策系;,"21世纪初美国颁布《不让一个孩子掉队》法案,此后,教学辅导员大量兴起。作为教学领导的一员,教学辅导员在促进学校能量建设、教师专业发展方面被寄予厚望。现实中,教学辅导员对各类角色有所选择和理解,不仅表现出促进者、中介者的角色,并在学习的过程中不断建构新的角色。在形成角色的过程中,教学辅导员受学区、学校等多重因素的影响。教学辅导员若要促进教学改进,必须首先推动学校的内部问责,并在教育系统中获得清晰的定位。"
26,C,杨建义;,高校辅导员专业定位、标准及其达成,福建师范大学学报(哲学社会科学版),2012,No.172,1,14-19,1000-5285,辅导员;思想政治教育;专业定位;专业标准,福建师范大学学生工作部;,"随着经济社会和高等教育的发展,思想政治教育已经从政治逻辑逐渐向专业逻辑转移,辅导员专业化成为队伍建设的内在诉求和时代要求。在辅导员专业化初始阶段,要着力解决辅导员专业定位、专业标准及其实现路径问题,从而推进辅导员队伍的健康、持续发展。"
27,C,闪茜菁;,辅导员工作视域下的大学生健康人格塑造,思想理论教育导刊,2012,No.157,1,114-117,1009-2528,辅导员;大学生;健康人格;塑造;自我意识,安庆师范学院政法学院;,"大学生健康人格塑造是大学生成长成才的关键环节,也是高校辅导员日常工作的重要内容。作为大学生的人生导师和健康成长的知心朋友,辅导员应当引领学生在学会求知、学会生活、学会做事、学会发展中提升自我认识、自我体验、自我控制、自我实现能力,塑造健康人格。"
28,C,陈娟;,从组织职业生涯管理看高校辅导员队伍建设,江苏高教,2012,No.162,2,68-69,1003-8418,辅导员;组织职业生涯管理;队伍建设,南京工业大学交通学院;,"辅导员是高等学校教师队伍和管理队伍的重要组成部分,但在队伍方面存在职业化、专业化建设不足的问题,难以适应新形势下高校学生工作的要求。文章从组织职业生涯管理的角度,以学校为主体,探讨高校辅导员队伍职业化、专业化发展在制度化、体系化方面的重点与策略。"
29,C,邹群;田铁杰;,高校辅导员职业倦怠的现状分析与对策建议,教育科学,2012,v.28;No.127,1,71-74,1002-8064,高校辅导员;职业倦怠;问卷调查,辽宁师范大学教育学院暨田家炳教育书院;沈阳师范大学教育学院;,"目的本研究试图了解高校辅导员的职业倦怠的现状,探索改善高校辅导员的职业倦怠与减轻职业压力的有效途径和措施。方法采用高校辅导员职业倦怠程度调查问卷对80名辅导员进行问卷调查。结果:约有50%的辅导员有着不同程度的倦怠表现,已婚辅导员比未婚辅导员更容易产生职业倦怠(χ2(1,80)=10.208,p0.05),不同学历的辅导员,其职业倦怠情况没有显著差异。结论:高校辅导员的职业倦怠情况不容忽视,必须通过一系列措施改善高校辅导员职业倦怠的现状。"
30,C,蒋德勤;,高校加强辅导员队伍建设的三个维度,思想理论教育导刊,2012,No.158,2,107-109,1009-2528,高校;辅导员;队伍;建设,安徽科技学院思想政治理论课教研部;,"当前,高校应从深化对辅导员队伍建设重要性的认识、坚持专业化职业化队伍建设方向、找准队伍建设突破口这三个维度,进一步加强辅导员队伍建设工作,不断提升辅导员队伍建设水平,适应高等教育形势发展和人才培养对辅导员队伍建设的新要求。"
31,C,谢继华;木帕里色;,关于高校辅导员博客建设的探索,思想理论教育导刊,2012,No.158,2,110-112,1009-2528,高校辅导员;博客建设;理论与实践,电子科技大学政治与公共管理学院;,"当前高校辅导员博客建设发展到有组织、有计划的重点推进阶段,针对辅导员博客存在的定位和理解存在偏差,内容建设、管理参差不齐亟需规范和平台建设亟需完善等问题,加强辅导员博客建设要正确把握全面性、积极主动和参与性原则,提高建设优秀辅导员博客的技能、加强对博客的监管力度。"
32,C,蔡茂华;李尚蒲;,研究生导师与辅导员合力育人机制的构建,研究生教育研究,2012,No.8,2,44-48,2095-1663,研究生思想政治教育;导师;辅导员;合力育人机制,华南农业大学党委研究生工作部;,"研究生导师和辅导员是研究生思想政治教育队伍的主体,针对两个主体之间存在沟通不充分、工作职责不清晰、工作合力形成不足的问题,分析研究生导师与辅导员互动沟通交流的特点和双方沟通不足的主要原因,提出构建研究生合力育人机制:界定导师和辅导员育人权责、明确双方沟通的主要内容、建立声誉机制调动导师和辅导员主动参与研究生思想教育的积极性,增强合力育人的效果。"
33,C,伍慷;,高校辅导员团队工作模式及效用,高教探索,2012,No.124,2,127-130,1673-9760,辅导员职业化;团队;团队工作模式,广州美术学院版画系;,"辅导员团队工作模式是一种全新的工作模式,具有独立的两级团队组织与职级序列,有清晰明确的岗位职责,具有""纵""、""横""的发展空间。它解决了辅导员发展的职业化、专业化问题,消解了辅导员的职业倦怠,提高了辅导员的职业能力,使辅导员工作具有了职业价值核心,并能形成真正的辅导员文化,塑造职业灵魂。"
34,C,徐晓宁;,新形势下高校辅导员队伍专业化建设的难点及对策,思想理论教育导刊,2012,No.160,4,115-119,1009-2528,辅导员;专业化;难点;对策,安庆师范学院学生处;,"当前学生工作的""瓶颈""问题,在于思想政治教育的精细化要求与学生发展的个性化选择之间的矛盾。在这一背景下,专业化成为提高辅导员队伍整体素质与工作能力的方向性选择。目前的辅导员队伍专业化建设还存在着观念障碍、专业意识模糊、不平衡性问题突出、体制机制薄弱等诸多问题,影响了专业化评价、定位、环境和效果。解决这些问题,必须提高专业门槛、提升专业素质、理清专业层次、凝练专业价值,建立起科学的选配机制、培养机制、管理机制和发展机制。"
35,C,吴建明;,青年辅导员践行“五者”要求的理论与实践,中国青年研究,2012,No.195,5,113-116,1002-9931,青年辅导员;践行;五者;思考,浙江省团校;,"青年辅导员是少年儿童的亲密伙伴和指导者,青年辅导员的党性修养直接影响着少年儿童思想政治素质的提高。青年辅导员要围绕少先队的根本任务,团结、教育、引导少年儿童,不断提高自身的职业素质。本文对青年辅导员在新的历史条件下如何践行""五者""作一些思考。"
36,C,吕吉;,试论高校辅导员专业化发展的制约因素,江苏高教,2012,No.163,3,95-96,1003-8418,高校辅导员;专业化;制约因素,滁州学院教育科学学院;,"高校辅导员走向专业化发展是当前我国高等教育进入大众化阶段的时代要求和发展趋势。然而,在当前我国高校的现实处境下,高校辅导员队伍要实现专业化发展还存在诸多的制约性因素,包括动力因素、培训因素、机制保障因素等。对制约高校辅导员专业化的因素进行分析,希望能够有助于深化对高校辅导员专业化的认识和推进高校辅导员专业化的发展进程。"
37,C,杨清刚;郑祥福;,高校教师“去倦怠”研究——以辅导员为例,江淮论坛,2012,No.252,2,189-191,1001-862X,高校辅导员;职业倦怠;对策建议,浙江水利水电专科学校;浙江师范大学法政学院;,"高校辅导员被认为是高强度、高压力职业,容易产生职业倦怠感。去除高校辅导员职业倦怠,对于增强高校教育能力、提升大学生思想品德、促进辅导员身心健康等具有重要的现实意义。文章分析了导致高校辅导员职业倦怠的成因,并提出了对策建议。"
38,C,王志华;苗洪霞;,论高校辅导员专业道德涵养,国家教育行政学院学报,2012,No.172,4,34-37,1672-4038,高校辅导员;专业化;专业道德;涵养,曲阜师范大学;,"高校辅导员专业化发展趋势,要求我们以新的视角对辅导员专业道德进行理性审视。但目前辅导员专业化发展中存在专业认同感低,理想信念不强,育人观念薄弱等道德失范现象,因此树立辅导员的理想信念,提升其专业道德层次,发挥辅导员专业组织的作用,营造良好专业道德的文化氛围,是提升辅导员的专业道德水平、促进其专业发展的基本路径。"
39,C,曾海艳;,高校学生辅导员媒介素养及其提升策略,学术论坛,2012,v.35;No.256,5,200-203,1004-4434,媒介素养;高等学校;辅导员,广西大学法学院党委;,媒介素养是信息时代对高校学生辅导员的必然要求。学生辅导员媒介素养的内涵具有明显的职业特征。可以通过增强媒介意识、提高媒介能力和加强培训力度提升辅导员的媒介素养。
40,C,简福平;,当前高校辅导员队伍建设应着力把握好的几个问题,思想理论教育导刊,2012,No.163,7,109-111,1009-2528,高校;辅导员;队伍建设,重庆工商大学研究生处;,"高校辅导员是开展大学生思想政治教育的骨干力量,是大学生健康成长的指导者和引路人。当前,高校辅导员队伍存在人员配备不足、队伍不够稳定、管理机制有待完善等问题。高校要高度重视辅导员队伍建设,进一步明确高校辅导员的定位和岗位职责,提高辅导员队伍的整体素质,完善管理机制,努力培育一支专业化、职业化的辅导员工作队伍。"
41,C,暴占光;,影响高校辅导员与学生有效沟通的因素及应对策略,思想理论教育导刊,2012,No.162,6,110-112,1009-2528,辅导员;思想政治教育;有效沟通,北京航空航天大学学生工作部;,"辅导员与学生沟通是一个双向互动过程,沟通过程会受到诸如信息传递、沟通态度、沟通技能、人际情感等因素影响。高校辅导员应在工作中围绕学生实际需求,选择更有针对性的沟通模式和沟通策略,建立有效沟通激励机制,进一步提高与学生有效沟通水平,进而提高思想政治教育的实效性和针对性。"
42,C,单筱婷;,社会资本视阈下克服高校辅导员职业倦怠路径探析,江苏高教,2012,No.164,4,85-86,1003-8418,社会资本;高校辅导员;职业倦怠,江南大学党委组织部;,"文章借用社会资本理论分析高校辅导员职业倦怠现象,认为克服高校辅导员职业倦怠要从优化岗位结构、强化专业程度、立体化考核评价、多元化发展分流等方面积极构建制度化社会资本,要从增强社会互动、寻求社会支持、建立防御机制等方面积极构建非制度化社会资本。"
43,C,王国燕;董雨;鲁丽娟;,研究生辅导员胜任力的核心要素分析,研究生教育研究,2012,No.9,3,65-68,2095-1663,研究生;研究生辅导员;胜任力;核心要素,中国科学技术大学人文与社会科学学院;中国科学技术大学学生工作部(处);,"研究生是高校学生思想教育工作的重要对象,但目前各高校对研究生辅导员队伍建设的重视程度还不够,对研究生辅导员的职能定位和工作目标要求较为模糊。本文从组织心理学角度出发,通过对研究生辅导员管理对象的主要特征进行分析,提出研究生辅导员应具备专业技能胜任、管理沟通胜任、道德责任胜任和亲和特质胜任等四个方面核心胜任要素。"
44,C,张振华;,完善体制机制 着力建设优质高效的辅导员队伍,中国高等教育,2012,No.481,10,36-37,1002-4417,辅导员专业化;政治教育目标;育人体系;队伍结构;教育工作;优秀辅导员;建设机制;人才培养基地;素质能力;政治素质;,吉林师范大学党委;,"育人为本是教育工作的根本要求,要把促进学生健康成长作为学校一切工作的出发点和落脚点。辅导员作为高等院校与学生身心联系最密切的群体,其重要作用不容忽视。高等院校应进一步凸显辅导员在育人体系中的地位,加强辅导员专业化建设。这是坚持育人为本、德育为先的必然要求,是统筹高校改革、发展和稳定的必然要求,是锻造高素质人才的必然要求,更是实现思想政治教育目标的组织保证。作为一所拥有50余年办学历"
45,C,谢守成;叶雷;,多学科视野下高校辅导员队伍建设,高校理论战线,2012,,7,47-50,1002-4409,多学科视野;高校辅导员;队伍建设,华中师范大学中国大学生教育与发展研究中心;,"多学科视野下的高校辅导员队伍建设,是指运用多学科理论和方法来思考辅导员队伍建设及辅导员工作中的问题。辅导员开展大学生思想政治教育工作的性质,辅导员来源多学科性和工作对象多学科性的现实,以及辅导员自身专业化、专家化的发展取向,决定辅导员必须具有多学科视野。在高校辅导员队伍建设中,应努力发挥辅导员的""第一学科""潜力,强化""核心学科""知识,普及""对象学科""常识,培育""特色学科""优势。"
46,C,张立荣;王健;,数字化时代高校辅导员工作能力的提升,江苏高教,2012,No.165,5,122-123,1003-8418,数字化时代;高校辅导员;创新工作能力,江苏师范大学信息传播学院;,"针对高校辅导员工作中面临的诸多问题,剖析了影响辅导员工作能力提升障碍的因素,并从数字化时代的组织管理、个体参与及技术支持三个层面提出提升高校辅导员工作能力的策略。"
47,C,俞刚;,试论民办高校辅导员职业忠诚的培育和提升,思想理论教育导刊,2012,No.165,9,109-111,1009-2528,民办高校;辅导员;职业忠诚,上海杉达学院管理学院;,"培育和提升民办高校辅导员的职业忠诚对于民办高校、学生、辅导员均具有重要意义。当前民办高校辅导员的职业忠诚不容乐观,培育和提升辅导员的职业忠诚既需要政府对民办高校的扶持和民办高校对辅导员工作的重视,也得益于辅导员的自我努力。"
48,C,赵昊;赵萌;付丹丹;,辅导员深度辅导工作实施模式探析,中国青年研究,2012,No.201,11,109-111,1002-9931,深度辅导;准备;形式;分类;督导机制,北京理工大学基础教育学院党总支;德州学院纺织服装工程学院服装系;北京理工大学基础教育学院团总支;,"开展辅导员深度辅导工作,是加强辅导员队伍建设的一个重要课题。本文通过对深度辅导工作准备和辅导形式的总结和分析,对深度辅导的分类实施提出建议,并对深度辅导的督导机制进行了探讨。"
49,C,包雅玮;,儒家思想与高校辅导员工作创新,江苏高教,2012,No.166,6,143-144,1003-8418,儒家思想;辅导员工作;辩证;创新,河海大学马克思主义学院;,"随着经济社会的发展,高校思想政治教育和学生管理工作中不断出现新问题。以人文和道德精神见长的儒家经典蕴藏着深厚的人学思想资源,在实践中辩证地运用儒家思想,对高校辅导员有效地开展学生思想政治教育工作具有实际的效果和深远的意义。"
50,C,贾连芝;张立鹏;时亚东;,高校辅导员远程教育平台的探讨与构建,电化教育研究,2012,v.33;No.232,8,79-83,1003-1553,辅导员;思想政治教育;远程教育平台;培训,河北师范大学信息技术学院;河北师范大学学生处;,"加强高校辅导员队伍的培训,对大学生的成长、成才起着关键作用。随着技术的不断发展和应用,信息技术将为辅导员培训带来新思路。笔者在深入调研的基础上,阐明了网络培训对加强辅导员队伍建设的重要性,并设计了高校辅导员远程教育平台,为今后开展辅导员网上培训和学习提供参考。"
51,C,高德毅;,关于推动高校辅导员队伍内涵发展的思考,高校理论战线,2012,,9,53-54,1002-4409,高校;辅导员;队伍建设,上海市教卫党委;上海市教委;,"当前高校辅导员队伍建设主要面临着结构性矛盾、专业化矛盾和体制性矛盾三大困境。要摆脱这些困境,必须向管理要效益,靠内涵求发展,在用发展愿景激发创新活力的基础上,一手抓制度管理,一手抓文化引领。"
52,C,刘正;,构建体育院校辅导员SNS网络平台的个案研究,北京体育大学学报,2012,v.35,10,80-85,1007-3612,体育院校;辅导员SNS网络平台;人人网;个案研究,北京体育大学;,"以人人网为代表的SNS社交网站在高校学生群体中得到普遍欢迎。同时,在不断增多的工作内容和压力下,如何保持与学生的联系与沟通,及时干预不良信息成为普通高等院校包括体育院校辅导员的巨大挑战。新的形势迫切需要体育院校辅导员利用网络平台高效地开展教育管理工作。本研究以北京体育大学体育传媒系2009级辅导员人人网——""泊含信息""为实验平台,通过对该平台的构建,对该年级学生对""泊含信息""前后态度进行调查,并对调查结果进行了分析。"
