作者,题名,文献来源,年,期,页码,关键词,机构
刘晨晔,后现代精神的休闲意蕴,自然辩证法研究,2002,3,28-31,后现代主义;休闲化;消费文化;泛游戏论,"中国人民大学马克思主义学院 北京100872,辽宁师范大学政法学院,辽宁大连116029"
卢钟锋,由传统走向启蒙——论18世纪中国文化的发展方向,哲学研究,2002,11,50-53,中国文化;官方文化;思想文化领域;国际环境;西方国家;性质特点;发展方向;中国传统文化;事势;文史通义;,中国社会科学院历史所
刘伟林,呼唤高层次的大众文化,华南师范大学学报(社会科学版),2002,6,34-36,文化特征;当代大众文化;文艺心理学;社会心理;华南师范大学;社会热点问题;实践课题;研究中心;艺术创作;审美心理;,华南师范大学文艺心理学研究中心 主任、教授
孟鑫;陈桂芝,生态主义与生态社会主义辨析,科学社会主义,2002,2,66-70,生态主义;生态社会主义;生态危机;生态平衡,"中国人民大学马克思主义学院 ,中国人民大学马克思主义学院"
龙秀清;郑欣,基督教人道主义评析,天津师范大学学报(社会科学版),2002,2,15-19+27,基督教;人道主义;新托马斯主义;马利坦,"南开大学历史学院,天津师范大学历史文化学院 天津300071 ,天津300073"
王晓丹,中国知识分子社会心态嬗变对近代思潮的影响,云南民族学院学报(哲学社会科学版),2002,4,99-101,知识分子;社会心态;社会思潮;认同危机;二律悖反,曲靖师范学院历史系 云南曲靖655000
黄兴涛,现代“中华民族”观念形成的历史考察——兼论辛亥革命与中华民族认同之关系,浙江社会科学,2002,1,129-142,中华民族;民族共同体;立宪运动;辛亥革命;符号认同,中国人民大学清史研究所
张云鹏,中唐思想文化的精神品格及美学蕴涵,中州学刊,2002,2,96-100,中唐;思想文化;儒学;美学思想,河南大学科研处 河南开封475001
谭莉莉;,公共精神:塑造公共行政的基本理念,理论与改革,2002,5,90-92,公共精神;公民社会;公共行政;基本理念,厦门大学法学院 福建厦门361005
徐德荣;向冬梅,小泉政府外交政策的走向及其动因,当代亚太,2002,7,44-50,政府外交;日美同盟;对外战略;布什政府;对日政策;日美关系;东盟国家;历史问题;基轴;修改宪法;,"哈尔滨师范大学马列部,哈尔滨学院政法系 副教授 ,副教授"
姚勤华,19世纪俄国斯拉夫主义思想和运动研究,东欧中亚研究,2002,6,69-74,俄国;斯拉夫主义;俄罗斯精神,上海社会科学院东欧中西亚研究所
王少普,近期日本社会阶层、社会思潮与政坛变化,复旦学报(社会科学版),2002,4,61-66,社会阶层;社会思潮;政坛变化;中日关系,上海社会科学院亚洲太平洋研究所 上海200020
吴云贵,伊斯兰原教旨主义、宗教极端主义与国际恐怖主义辨析,国外社会科学,2002,1,14-20,伊斯兰原教旨主义;宗教极端主义;国际恐怖主义,中国社会科学院世界宗教研究所 研究员
曾宪明;黄月琴,论近代报刊与中国现代化意识的交互关系,湖北大学学报(哲学社会科学版),2002,2,94-99,近代报刊;现代化意识;大众传媒;现代化,"湖北大学人文学院,湖北大学人文学院 湖北武汉430062 ,湖北武汉430062"
曹萌,论明末言情小说观的发展,江海学刊,2002,1,170-174,言情小说观;理论表述;创作倾向;社会思潮,郑州大学中文系
安启念,新世纪初俄罗斯社会思潮,教学与研究,2002,7,48-53,社会思潮;自由主义;社会主义;爱国主义;实用主义;救世主义,中国人民大学哲学系 北京100872
徐国荣,名士精神与汉魏之际孟子地位之沉浮,孔子研究,2002,5,67-76,孟子;儒学名士;“大丈夫”精神;赵岐;孟子章句;文化意蕴,暨南大学中文系
杜维明 ;陈振江,论中国传统文化的转型——杜维明、陈振江教授对谈录,南开学报,2002,3,1月13日,中国传统文化;燕京学社;传统文化资源;杜维明;文化本质;新儒学;杜先生;中国近代社会;国粹派;录音整理;,
顾云虎;,回眸族群理论之于课程变革的影响和启示——一体化与多元化的辩证法,全球教育展望,2002,6,37-41,课程变革;多元文化教育;现代化思想;文化进步;辩证统一;文化选择;儿童中心;课程论;学校教育制度;课程文化;,华东师范大学课程与教学研究所;
何丹,市民社会思潮复苏下中国城市规划师的角色定位,城市规划汇刊,2003,1,25-28+32-95,市民社会;非政府组织(NGOs);社区组织(CBOs);城市规划师,日本东京大学都市工学系
姜英杰;李广;张丹华,从自卑到自省——西方心理学发展轨迹新解,东北师大学报,2003,6,128-133,时代精神;社会思潮;西方心理学史;发展,"东北师范大学教育科学学院,东北师范大学教育科学学院,上海大学社科院 吉林长春130024 ,吉林长春130024 ,上海200436"
唐珍,乌勒贝克与法国后现代精神,外国文学,2003,3,27-30,后现代精神;价值取向;生存;痛苦;重构;个人与环境,浙江大学外国语学院 浙江杭州310028
杨先艺,论中国先秦哲学的造物思想,江汉论坛,2003,6,22-24,老子;庄子;墨子;造物,武汉理工大学艺术与设计学院 副教授武汉430070
陈文联,论五四时期探求“婚姻自由”的社会思潮,江汉论坛,2003,6,78-80+121,五四时期;婚姻自由;妇女解放,中南大学政治与行政管理学院 副教授长沙410083
张凤琦,抗战时期国民政府科技发展战略与政策述评,抗日战争研究,2003,2,108-128,战时;国民政府;科技战略;政策;述评,重庆社会科学院文史研究所
宋艳萍,孔子质文说与汉代文家特质,孔子研究,2003,4,74-82,孔子;质文说;文家;质家;政治史观,中国社会科学院历史研究所
俞强,梅文鼎与“西学中源”说,南开学报,2003,1,28-33,科技史;梅文鼎;西学中源,南开大学历史学系 天津300071
朱洪斌,梁启超、胡适的初晤与“研究系”的思想转向,南开学报,2003,5,9月14日,梁启超;胡适;新知识分子群体;研究系;思想转向,南开大学历史学系 天津 300071
胡令远,文明论、社会思潮与中日关系——以福泽、梅棹文明论为中心,日本学刊,2003,6,110-123,文明论;福泽谕吉;梅棹忠夫;社会思潮;中日关系,复旦大学日本研究中心
查晓英,20世纪末关于中国考古学走向的争论——以俞伟超和张忠培的观点为中心,四川大学学报(哲学社会科学版),2003,1,101-115,中国考古学;20世纪中国学术;考古学与历史学;考古学与人类学;俞伟超;张忠培,四川大学历史文化学院 四川成都610064
陈文联;李桂梅,论五四时期探求家庭变革的社会思潮,社会科学辑刊,2003,3,139-144,五四时期;家庭变革;建立小家庭;废除家庭;家庭革命,"中南大学政治学与行政管理学院,湖南师范大学伦理研究所 湖南长沙410083 ,湖南长沙410081"
孙正聿,当代人类的生存困境与新世纪哲学的理论自觉,社会科学辑刊,2003,5,9月16日,人类;生存困境;新世纪哲学;理论自觉,吉林大学哲学基础理论研究中心 吉林长春130029
周兴陆,窦、林、黄三部早期中国文学史比较,社会科学辑刊,2003,5,135-141,窦警凡;林传甲;黄人;中国文学史;文学史学,复旦大学中国语言文学研究所 上海200433
盛邦和;何爱国,中国现代史学三流派及形成的社会原因,史学理论研究,2003,4,28-34+158,三矛盾;三社会思潮;三史学思潮;三史学派别,"华东师范大学历史系,华东师范大学历史系 教授,邮编:200062 ,博士生,邮编:200062"
张荣翼,文艺问题——文艺之外的问题,思想战线,2003,5,109-114,文艺研究;视角;取景框架;多学科;相关性,"武汉大学中文系 湖北武汉,430072"
杨共乐,后现代主义与后现代史学,史学史研究,2003,3,71-75,后现代史学;历史编撰学,北京师范大学历史系 北京100875
纪军,当代美国终身教育的发展论略,外国教育研究,2003,11,47-50+60,美国;终身教育;专业化;网络化;社区学院,华东师范大学职业教育与成人教育研究所 上海200062
苑崇利,试析日本政治文化的思想根源,外交学院学报,2003,2,44-50,日本;日本政治文化;集团主义精神,外交学院 北京100037
李湛军,重新定义恐怖主义,现代国际关系,2003,7,24-30,恐怖主义定义;超常规暴力;社会思潮,光明日报 驻土耳其高级记者
王业兴,辛亥革命后“科学救国”思潮的社会影响,学术研究,2003,2,83-86,辛亥革命后;科学救国思潮;影响,广州中华文化学院历史学
刘红梅,莲池大师的三教融通思想,宗教学研究,2003,4,133-137,莲池大师;三教合一;自知录;净土宗,四川大学道教与宗教文化研究所
朱清,精神文明理论研究的宝贵成果——《社会主义精神文明论》读后感,科学社会主义,2003,4,78-80,精神文明;理论成果;重要启示,中央文明办调研组
丁为祥,明代心学的形成机缘及其时代特色,中国哲学史,2003,3,81-91,明代心学;形成机缘;时代特色,陕西师范大学哲学系 教授
方福前,新自由主义及其影响,高校理论战线,2003,12,50-53,新自由主义;芝加哥大学;撒切尔政府;奥地利学派;国际机构;里根政府;芝加哥学派;看不见的手;货币主义;经济学流派;,中国人民大学
刘一兵,清末尚武思潮述论,历史档案,2003,4,68-76,军国民教育会;留日学生;尚武精神;积贫积弱;国民主义;京师大学堂;新民德;拒俄运动;整军经武;知识阶层;,徐州师范大学学报编辑部 副编审 邮编221009
崔世广,日本社会思潮变化的影响,现代国际关系,2003,10,13-15,国际环境;内外政策;民族主义思潮;思想潮流;中日关系;社会形势;修改宪法;小泽;“中国威胁论”;参拜靖国神社;,中国社会科学院日本研究所 研究员
刘曙雄,20世纪伊斯兰世界主要思潮及其文化根基,南亚研究,2003,2,77-84,伊斯兰世界;主要思潮;伊斯兰革命;伊斯兰社会主义;阿富汗尼;泛伊斯兰主义;《古兰经》;文化动因;伊斯兰国家;伊斯兰文化;,北京大学东方文学研究中心、北京大学外国语学院东语系 教授
乔治·德马提诺 ;雷渊,新自由主义兴起的另一原因,国外理论动态,2003,12,48,新自由主义;个人自由;科茨;里根革命;大卫;美国南方;公共话语;工会运动;劳工运动;公共教育;,
高瑞泉,激情与土壤——当代中国社会思潮的背景分析,华东师范大学学报(哲学社会科学版),2003,3,1-6+120,社会思潮;激进主义;保守主义,华东师范大学哲学系 上海 200062
赵修义,主体觉醒和个人权利意识的增长——当代中国社会思潮的观念史考察,华东师范大学学报(哲学社会科学版),2003,3,7-12+120,主体觉醒;经济动机;权利意识;主体性哲学,华东师范大学哲学系 上海 200062
陈国恩,知青小说:浪漫主义思潮的回归与泛化,学习与探索,2003,6,97-102,知青小说;浪漫主义思潮;中国当代文学,武汉大学中文系 湖北 武汉 430072
万军,当代民族主义新浪潮的特征及成因,社会科学,2003,7,39-44,全球化;民族主义;民族国家,中共中央党校科社教研部 北京　100091
浙江省团校课题组,青年和社会思潮研究,中国青年研究,2004,1,73-89,思潮研究;时尚潮流;西方思潮;思想解放;生存意识;思潮影响;中国现实国情;工作重点转移;市场经济浪潮;国家干预主义;,
陈平,多元文化的冲突与融合,东北师大学报,2004,1,35-40,多元文化论;多元文化;文化冲突;文化融合,清华大学人文社会科学学院 北京100084
石川,作为早期大众文化产品的郑正秋电影,当代电影,2004,2,29-34,大众文化;郑正秋;类型化;传奇性,上海大学影视艺术技术学院 副教授
孟祥才,西汉前期的历史反思与社会进步,江海学刊,2004,2,120-125,西汉;反思;社会进步,山东大学文史哲研究院
高日晖,明代社会思潮与《水浒传》的接受,求是学刊,2004,3,100-104,社会思潮;水浒传;接受,大连大学人文学院 辽宁大连116622
崔荣华,明清社会“男风”盛行的历史透视,河北学刊,2004,3,155-159,"明清社会;""男风""现象;原因",南通师范学院法政经管系 江苏南通226007
刘泽华;张分田,开展统治思想与民间社会意识互动研究,天津社会科学,2004,3,116-122,民间社会意识;统治思想;精英思想;经典思想,"南开大学历史学院暨中国社会史研究中心,南开大学历史学院暨中国社会史研究中心 主任、教授、博士生导师 ,教授、博士生导师"
吴小龙,“国家主义”理论评析,中国青年政治学院学报,2004,3,38-44,国家主义;中国青年党;民族主义,中国青年政治学院中文系 北京100089
姚新勇;毛毳,全球化语境下的中国民族叙事——以《红河谷》为例,暨南学报(人文科学与社会科学版),2004,4,80-86+139,全球化;民族文学;电影叙事;红河谷,"暨南大学文学院,暨南大学文学院 广东广州　510632 ,广东广州　510632"
徐元勇,从《三教同声》看明代宗教音乐的存在情况,黄钟(中国.武汉音乐学院学报),2004,4,73-76,中国古代音乐;宗教音乐;明代;古琴音乐;三教同声,南京师范大学音乐学院
陈廷湘;龙伟,中国现代社会心理与社会思潮学术研讨会综述,社会科学研究,2004,6,158-159,中国现代社会;社会心理;中国现代史学;社会心态;公众心理;心理恐慌;重庆市民;重庆大轰炸;公众行为;四川师范大学;,"四川大学历史文化学院 ,四川大学历史文化学院"
李寒梅,关于“教科书问题”与日本社会思潮研究,国际政治研究,2004,4,55-67,教科书问题;“新历史教科书运动”;社会思潮;民族主义,北京大学国际关系学院
徐扬,简析晚清社会思潮中超越现实的倾向,贵州社会科学,2004,6,93-97,晚清时期;社会思潮;超越思想特点,贵州师范大学 贵州贵阳550001
杨茵娟,从冲突到对话——评传播研究典范:结构功能主义、政治经济学与文化研究,国际新闻界,2004,6,50-56,传播研究典范;结构功能主义;政治经济学;文化研究,香港城市大学
冯勤,《青琐高议》的民俗信仰倾向探析,宗教学研究,2004,4,133-136,《青琐高议》;民俗信仰;探析,四川大学文学与新闻学院
刘长林;李云飞,试析陈独秀的“以科学代宗教”思想,安徽史学,2005,3,112-117,陈独秀;科学;宗教;信仰;世界观;人生观,"上海大学文学院历史系,上海大学文学院历史系 上海200444 ,上海200444"
张丹华,苏联和俄罗斯意识形态教育的变迁与困境,外国教育研究,2005,4,29-32,苏联;俄罗斯;思想政治教育;意识形态教育,华东师范大学法政学院 上海200062
盛邦和,20世纪上半叶中国史学的流程与流派,学术月刊,2005,5,57-64,五个“流程”;三个“流派”;思潮与史潮,上海财经大学人文学院 教授、博士生导师
杨军;姚锡长,勤奋探索 努力创新——梅荣政教授学术思想述评,高校理论战线,2005,6,27-36,梅荣政;马克思主义研究;学术思想,"武汉大学政治与公共管理学院,武汉大学政治与公共管理学院 430072 ,430072"
刘长林,“中国现代社会心理和社会思潮学术研讨会”概述,史学月刊,2005,7,118,中国现代社会;社会心态;中国现代史学;北洋政府;重庆大轰炸;四川师范大学;历史进程;中国现代历史;中共成都市委;联省自治;,上海大学历史系 上海200436
王铁铮,战后中东社会思潮的演变及特点,西亚非洲,2005,3,41-47+80,中东国家;社会思潮;特点,西北大学中东研究所
蒋真,从伊朗内外政策看“哈塔米主义”,西亚非洲,2005,3,54-60+80,公民社会;文明间对话;哈塔米主义;现代化;全球化,西北大学中东研究所
黄象品,加强青年社会思潮引导的几点思考,中国青年研究,2005,7,57-59,意识形态性;思想理论建设;理论工作;理论宣传;社会道德建设;政治自由;正确与错误;社会舆论;思想认识问题;时代化;,湖南省团校 校长
林红,后冷战时代的欧洲新民粹主义,国际论坛,2005,4,12-16+79,新民粹主义;“欧洲右倾”;政党政治;新纳粹主义,中国人民大学国际关系学院
刘放鸣,当代西方政治革新的路径选择——“第三条道路”思潮评析,马克思主义与现实,2005,4,142-144,“第三条道路”;资本主义;政党,邵阳学院政法系 主任、副教授
何萍,开展以中国现代化为中心论题的马克思主义哲学中国化研究,马克思主义与现实,2005,5,13-19,中国马克思主义哲学;马克思主义中国化;马克思主义哲学;现代化运动,武汉大学哲学系 教授
张丽萍,“采中补洋”的四川基督教领袖——四川圣公会会督宋诚之伦理观述评,四川大学学报(哲学社会科学版),2005,5,95-100,四川;基督教;圣公会;宋诚之;本色化,四川大学历史文化学院 四川成都610064
龚隽,北宋天台宗对《大乘起信论》与《十不二门》的诠释与论争,中国哲学史,2005,3,83-94,十不二门;天台宗;大乘起信论;华严;佛教思想;真如缘起;中国佛教;法藏;正统性;知礼;,中山大学哲学系 教授
梅荣政;杨军,历史虚无主义重新泛起的透视,马克思主义研究,2005,5,42-48,历史虚无主义;社会思潮;中国近现代史;唯物史观,"武汉大学政治与公共管理学院 ,武汉大学政治与公共管理学院"
吴稌年,中国近代社会思潮对近代图书馆的孕育,图书情报工作,2005,2,129-131,近代图书馆;社会思潮;中国,江南大学图书馆 无锡 214036
熊贤君,废止科举制度的大智慧,教育研究与实验,2005,4,49-52,科举制度;废止程序;过渡措施,深圳大学师范学院 518060
韩华,论民初孔教是否宗教之争,中州学刊,2005,6,192-196,孔教;宗教;民初;思潮,中国人民大学清史研究所 北京100872
宋丽萍;,印度独立以来历史教科书问题与教、俗之争,世界历史,2005,6,106-112,印度;历史教科书;世俗主义;教派民族主义,"中国社会科学院世界历史研究所 助理研究员,北京100006"
陈璐;,基于女性主义视角的城市住房与住区问题初探——以南京市为例,人文地理,2005,6,48-51,女性;女性主义;住区;住房,南京大学城市与资源学系 南京210093
丁功谊;邱峰;,钱谦益与天启、崇祯年间社会思潮,求索,2005,12,219-222,钱谦益;学术思想;晚明社会思潮,"井冈山学院人文学院,井冈山学院 文学博士,副教授 江西,吉安,343009"
刘宝东;,“好人政府”中的“好人”们,百年潮,2005,8,68-73,好人政府;王宠惠;好人内阁;政治要求;北京政府;无序相;日本侵略;克敏;黎元洪;委员会委员长;,
孙海泉,论民国时期苏南思想观念嬗变的特征和作用,江海学刊,2005,1,159-165,民国时期;苏南地区;思想观念;嬗变;特征;作用,徐州师范大学社会发展学院
李庆四,布什竞选连任的宗教因素及对美国外交决策的影响,教学与研究,2005,2,42-48,宗教势力;政治倾向;社会思潮;外交影响,中国人民大学国际关系学院 北京 100872
何继龄,洋务思想双重性的历史分析,兰州大学学报,2005,1,27-31,洋务运动;洋务思想;双重性,西北师范大学政法学院 甘肃兰州730070
贺来,“现代性”的反省与马克思哲学研究纵深推进的生长点,求是学刊,2005,1,37-41,现代性理论;哲学研究;西方马克思主义;后马克思主义;现代性问题;卢卡奇;马克思学说;霍克海默;利奥塔;葛兰西;,吉林大学哲学基础理论研究中心 教授博士生导师
